Molecule,Manufacturer,Product,MIDAS Corporation,Corporation,ATC4,ATC3,ATC2,ATC1,Total Market,Market,Molecule Combination Type,Launch Year,Strength,Pack,Launch Date,Retail Price,NFC1,NFC2,NFC3,2022 LC Value,2022 Units,2023 LC Value,2023 Units,2024 LC Value,2024 Units,2025 LC Value,2025 Units,2026 LC Value,2026 Units
(RS)-3 METHYL-2-OXOVALERIANIC ACID,FRESENIUS KABI,KETOSTERIL,FRESENIUS,FRESENIUS KABI*,A16A0 OTHER METABOLIC PRODUCTS,A16A OTHER METABOLIC PRODUCTS,A16 OTHER METABOLIC PRODUCTS,A0 ALIMENTARY T.& METABOLISM,TOTAL MARKET,LPO,COMBI,2001.0,0000,FILM C.TABS 100,200109,161.0,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,32200.0,200.0,23184.0,144.0,21252.0,132.0,32039.0,199.0,21735.0,135.0
(RS)-3 METHYL-2-OXOVALERIANIC ACID,FRESENIUS KABI,KETOSTERIL,FRESENIUS,FRESENIUS KABI*,A16A0 OTHER METABOLIC PRODUCTS,A16A OTHER METABOLIC PRODUCTS,A16 OTHER METABOLIC PRODUCTS,A0 ALIMENTARY T.& METABOLISM,TOTAL MARKET,PRIVATE MARKET,COMBI,2001.0,0000,FILM C.TABS 100,200109,161.0,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,363699.0,2259.0,395899.0,2459.0,625485.0,3885.0,617435.0,3835.0,104006.0,646.0
(RS)-3-METHYL-2-OXOBUTYRIC ACID,FRESENIUS KABI,KETOSTERIL,FRESENIUS,FRESENIUS KABI*,A16A0 OTHER METABOLIC PRODUCTS,A16A OTHER METABOLIC PRODUCTS,A16 OTHER METABOLIC PRODUCTS,A0 ALIMENTARY T.& METABOLISM,TOTAL MARKET,LPO,COMBI,2001.0,0000,FILM C.TABS 100,200109,161.0,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,32200.0,200.0,23184.0,144.0,21252.0,132.0,32039.0,199.0,21735.0,135.0
(RS)-3-METHYL-2-OXOBUTYRIC ACID,FRESENIUS KABI,KETOSTERIL,FRESENIUS,FRESENIUS KABI*,A16A0 OTHER METABOLIC PRODUCTS,A16A OTHER METABOLIC PRODUCTS,A16 OTHER METABOLIC PRODUCTS,A0 ALIMENTARY T.& METABOLISM,TOTAL MARKET,PRIVATE MARKET,COMBI,2001.0,0000,FILM C.TABS 100,200109,161.0,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,363699.0,2259.0,395899.0,2459.0,625485.0,3885.0,617435.0,3835.0,104006.0,646.0
(RS)-4-METHYL-2-OXOVALERIANIC ACID,FRESENIUS KABI,KETOSTERIL,FRESENIUS,FRESENIUS KABI*,A16A0 OTHER METABOLIC PRODUCTS,A16A OTHER METABOLIC PRODUCTS,A16 OTHER METABOLIC PRODUCTS,A0 ALIMENTARY T.& METABOLISM,TOTAL MARKET,LPO,COMBI,2001.0,0000,FILM C.TABS 100,200109,161.0,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,32200.0,200.0,23184.0,144.0,21252.0,132.0,32039.0,199.0,21735.0,135.0
(RS)-4-METHYL-2-OXOVALERIANIC ACID,FRESENIUS KABI,KETOSTERIL,FRESENIUS,FRESENIUS KABI*,A16A0 OTHER METABOLIC PRODUCTS,A16A OTHER METABOLIC PRODUCTS,A16 OTHER METABOLIC PRODUCTS,A0 ALIMENTARY T.& METABOLISM,TOTAL MARKET,PRIVATE MARKET,COMBI,2001.0,0000,FILM C.TABS 100,200109,161.0,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,363699.0,2259.0,395899.0,2459.0,625485.0,3885.0,617435.0,3835.0,104006.0,646.0
1;2-OCTANEDIOL,THORNTON & ROSS,HEDRIN TREAT&GO,STADA,STADA ARZENEIM*,P03A0 ECTOPARAS.INCL SCABICIDE,P03A ECTOPARAS.INCL SCABICIDE,P03 ECTOPARASITICIDES,P0 PARASITOLOGY,TOTAL MARKET,PRIVATE MARKET,MONO,2014.0,0000,SPRAY 1 60 ML,201411,79.0,M TOPIC DERMATOL HAEMOR EXTERN,MG TOP EXT LIQUIDS,MGC TOP EXT SPRAYS WITHOUT GAS,4550.0,70.0,7735.0,119.0,,,,,,
1;3-BUTANEDIOL,BIODERMA,BIODERMA CCB F50+,NAOS,BIODERMA*,D03A9 OTH WOUND HEALING AGENTS,D03A WOUND HEALING AGENTS,D03 WOUND HEALING AGENTS,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2017.0,0000,CR.INTENSIV. 1 30 ML,201709,71.5,M TOPIC DERMATOL HAEMOR EXTERN,MT TOP EXT CREAMS,MTA TOP EXT CREAMS N O S,117048.0,1637.0,182899.0,2558.0,79795.0,1116.0,1502.0,21.0,,
1;3-BUTANEDIOL,EXPANSCIENCE,MUSTELA BEBE,EXPANSCIENCE,EXPANSCIENCE*,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2014.0,0000,STH CMF BB 1 40 ML,201405,40.0,M TOPIC DERMATOL HAEMOR EXTERN,MS TOP EXT OINTMENTS,MSA TOP EXT OINTMENTS N O S,,,,,,,600.0,15.0,720.0,18.0
2;4-DICHLOROBENZYL ALCOHOL,AGIO PHARMACEUTIC,LOZZYS,AGIO,AGIO PHARMACEUTIC*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2024.0,0000,GINGER LOZEN 24,202407,21.42,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,,,91721.0,4282.0,90843.0,4241.0,28060.0,1310.0
